guid,German,German Definition,German Example,English,English Example,tags
%eb&O&Z8SY,die Herkunft (Sg.),"soziale Abstammung; bestimmter sozialer, nationaler, kultureller Bereich, aus dem jemand herkommt",er ist nach seiner Herkunft Franzose,origin,,Lektion_1 Einstieg
1Y{%7/U0zB,"das Motiv, -e","zur [künstlerischen] Gestaltung, Wiedergabe anregender Gegenstand",dieser Maler bevorzugt ländliche Motive,motif,,Lektion_1 Einstieg
<Vqr&PgGVZ,"entwerfen, entwarf, hat entworfen","planend zeichnen, skizzieren",Unsere Grafikerin hat ein neues Firmenlogo entworfen,"to create, to design",,Lektion_1 Einstieg
68tr!XW=go,kommentieren,persönliche Anmerkungen zu etwas machen,Der Reporter kommentierte die aktuellen Ereignisse,to comment,,Lektion_1 Einstieg
Yq=Vc|CK[o,"die Alternative, -n","zweite, andere Möglichkeit; Möglichkeit des Wählens zwischen zwei oder mehreren Dingen","Bei so vielen Alternativen ist es schwer, eine Entscheidung zu treffen",alternative,,Lektion_1 Sprechen_1
SaBOC8Eg>n,"die Aufzählung, -en","das Aufzählen (einzeln angeben, nacheinander aufführen, nennen)",Die folgende Aufzählung zeigt die wichtigsten Änderungen an der Bogart SE Software 3.0 gegenüber der Version 2.4,enumeration,,Lektion_1 Sprechen_1
UA2&.We4OA,"die Einschränkung, -en","das Einschränken (verringern, reduzieren; auf ein geringeres Maß herabsetzen)",Importe unterliegen bestimmten Einschränkungen,restriction,,Lektion_1 Sprechen_1
2!oU^ijYe?,"der Gegensatz, -¨e",Verhältnis äußerster Verschiedenheit,Im Gegensatz zu Äpfeln sind Bananen ekelhaft,"contrast, contradiction",,Lektion_1 Sprechen_1
:7)V~xw81y,"der Geschmack, -¨er","etwas, was man mit dem Geschmackssinn wahrnimmt; charakteristische Art, in der ein Stoff schmeckt, wenn man ihn isst oder trinkt","ein süßer, angenehmer Geschmack",taste,,Lektion_1 Sprechen_1
3y)GWWk6dc,denselben Geschmack haben,,"Wenn da etwas ist, das ich mag, dann muss es viele andere Menschen geben, die denselben Geschmack haben",to have the same taste,,Lektion_1 Sprechen_1
TdNH5zeB/M,"das Missverständnis, -se","[unbeabsichtigte] falsche Deutung, Auslegung einer Aussage oder Handlung",Ein Missverständnis führte zur vorzeitigen Auflösung des Vertrags,misunderstanding,,Lektion_1 Sprechen_1
2`2Pt2ZTv8,"die Neuigkeit, -en","Begebenheit, die noch nicht [allgemein] bekannt ist, neue Nachricht",Ich blieb trotz der schlechten Neuigkeiten hoffnungsvoll,news,,Lektion_1 Sprechen_1
RxqqL^(0p@,Neuigkeiten austauschen,,Bei leckeren Tapas und einem Glas Sekt lassen sich so schon vor der Konferenz Neuigkeiten austauschen und interessante Kontakte knüpfen,to exchange news,,Lektion_1 Sprechen_1
/e|JC;A/<K,"die Umfrage, -n","[systematische] Befragung einer [größeren] Anzahl von Personen, z. B. nach ihrer Meinung zu einem bestimmten Problem","Die Umfrage hat ergeben, dass die meisten Leute mit dem Essen zufrieden waren","survey, poll",,Lektion_1 Sprechen_1
7|+l*MC@?B,anvertrauen,"vertrauensvoll übergeben, überlassen; im Vertrauen mitteilen",Ich vertraue meine Geheimnisse nur meiner Mutter an,"to confide, to entrust",,Lektion_1 Sprechen_1
NkOb3}Zhib,jemandem etwas ausmachen,,"Macht es dir etwas aus, wenn ich kurz telefoniere?","to bother someone, [does] someone mind",,Lektion_1 Sprechen_1
1P|D(F9h{z,bezeichnen,durch ein Zeichen kenntlich machen; markieren,Ich würde seine Musik als Jazz bezeichnen,"to denote, to refer to",,Lektion_1 Sprechen_1
"O9%i{/,nQ:","sich verlassen auf (+Akk.), verließ, hat verlassen",,Du kannst dich immer auf mich verlassen,to rely on,,Lektion_1 Sprechen_1
U~}79vgV9%,"verstehen unter (+Dat.), verstand, hat verstanden",,Wir verstehen unter Risikomanagement die gezielte Sicherung bestehender und künftiger Erfolgspotenziale,to be understood as,,Lektion_1 Sprechen_1
;)D>SN+0$x,hin- und hergerissen sein,,Sie war hin und hergerissen zwischen ihrem Privatleben und ihrem Berufsleben.,to be torn [between],,Lektion_1 Sprechen_1
3g5Em0W#_@,"(sich) aus den Augen verlieren, verlor, hat verloren",,"Sie waren seit der Grundschule befreundet, aber sie haben sich mit der Zeit aus dem Auge verloren.",to lose sight [of],,Lektion_1 Sprechen_1
b?tjTOa<~,einerseits – andererseits,"auf der anderen Seite, zum andern","einerseits machte das Spaß, andererseits Angst",on the one hand – on the other hand,,Lektion_1 Sprechen_1
(6a}!Z=F5x,entweder – oder,"wenn nicht …, dann (führt die erste von zwei oder mehreren Möglichkeiten ein, betont nachdrücklich, dass nur jeweils eine infrage kommt)
","Entweder ist die Anleitung falsch, oder ich bin ein Vollidiot",either – or,,Lektion_1 Sprechen_1
8j8UA]vU*h,nicht nur – sondern auch,,nicht nur die Eltern sondern auch die Kinder durften teilnehmen,not only – but also,,Lektion_1 Sprechen_1
00~nyc3H:c,sowohl – als auch,"nicht nur …, sondern auch",sowohl die Eltern als auch die Kinder durften teilnehmen,both – and,,Lektion_1 Sprechen_1
67bc>-TN_Y,weder – noch,nicht … und auch nicht …,dafür habe ich weder Zeit noch Geld [noch Lust],neither – nor,,Lektion_1 Sprechen_1
*Tq#9Df2C/,zwar – aber,"leitet eine Feststellung ein, der eine Einschränkung folgt","das ist zwar verboten, aber es hält sich keiner daran",[indeed] – but,,Lektion_1 Sprechen_1
ZzDO3m##x%,"der Auftrag, -¨e",Weisung; zur Erledigung übertragene Aufgabe,Die Firma hat im ersten Quartal mehr Aufträge als je zuvor erhalten,commission,,Lektion_1 Lesen
",7D[Y{>U)+","in Auftrag geben, gab, hat gegeben",,Der Chef gab die Übersetzung des Vertrags in Auftrag,to commission,,Lektion_1 Lesen
"W^,7{>IH:<",die Daten (Pl.),,Ich sammle Daten über die Nutzung von sozialen Medien,data,,Lektion_1 Lesen
X)[(aL:X$y,Daten auswerten,,Sie benötigen einen PostgreSQL Server um historische daten auswerten zu können,to evaluate data,,Lektion_1 Lesen
$K6_6~Qr9],Daten erfassen,,Sie konnten mit dem neuen Formular enorm viele Daten erfassen,to collect data,,Lektion_1 Lesen
#BY#6cRvky,die Erdbevölkerung (Sg.),Gesamtheit der auf der Erde lebenden Menschen,"Die Sonne schickt in einer Stunde so viel Energie auf die Erde, wie die gesamte Erdbevölkerung in einem ganzen Jahr verbraucht",global population,,Lektion_1 Lesen
92ph{?j4HV,"der Fakt, -en","etwas, was tatsächlich, nachweisbar vorhanden, geschehen ist; [unumgängliche] Tatsache","Fakt (Tatsache) ist, dass er hier nicht erschienen ist",fact,,Lektion_1 Lesen
+&{|@U~LUo,"die Freundschaftsanfrage, -n","jemandem in einem sozialen Netzwerk die gegenseitige Verknüpfung der Nutzerprofile und -daten anbieten, ihn um eine solche bitten","jedes Mal, wenn sie eine Freundschaftsanfrage absendet, macht sich leichte Nervosität in ihr breit",friend request,,Lektion_1 Lesen
$N2JZV8}WS,"der Nutzer, -","jemand, der etwas nutzt",Alle Nutzer von Internetbanking sollten ein sicheres Passwort haben,user,,Lektion_1 Lesen
R6-&NstUqv,"die Redensart, -en",,Nimm es nicht wörtlich. Es ist nur eine Redensart.,"idiom, figure of speech",,Lektion_1 Lesen
Lh]Vg=T*Qj,ermöglichen,,"Die neue Software ermöglicht es mir, von zu Hause aus zu arbeiten",to enable,,Lektion_1 Lesen
Z5<**0`i(=,vernetzt sein,,Der Chef von Audi ist bestimmt gut vernetzt,to be connected,,Lektion_1 Lesen
K;+Eb4VPQh,"über sechs Ecken kennen, kannte, hat gekannt",,Ich bin über sechs Ecken mit Kaiser Wilhelm verwandt,to be no more than six degrees of separation apart,,Lektion_1 Lesen
V3U`Ug9CW*,mittlerweile,,Mittlerweile gibt es schon wirklich gute elektrische Autos,by now,,Lektion_1 Lesen
Zm6LMA_sUU,"die Ankündigung, -en",,Die Mitarbeiter versammelten sich für eine wichtige Ankündigung,announcement,,Lektion_1 Hören
.;t`hwR`#c,"der Eindruck, -¨e",,Er machte einen sehr guten Eindruck beim Vorstellungsgespräch,impression,,Lektion_1 Hören
%n-/Q?`ZpL,den Eindruck haben,,,to have the impression [that],,Lektion_1 Hören
829&OCHby|,"die Gesprächsrunde, -n","",Der Gesprächsrunde mit Donald Trump und Barack Obama haben 130 Millionen Leute zugeschaut ,talk show,,Lektion_1 Hören
M[RXIZ9T+:,"der Ratgeber, -",,Dieser Ratgeber über Hunde enthält viele Informationen zur Fellpflege,advisor,,Lektion_1 Hören
"YmUO^)_!b,",die Verwirrung (Sg.),,"Unser Lehrer verursachte einige Verwirrung, als er den falschen Test verteilte",confusion,,Lektion_1 Hören
PRXD4:.]/B,"auffallen, fiel auf, ist aufgefallen",,Sein eigenartiges Aussehen fiel mir sofort auf,"to stand out, to be noticed [by]",,Lektion_1 Hören
Q%Un[qm.2>,feststellen,,Die Polizei konnte die Ursache für das Feuer nicht feststellen,"to ascertain, to determine",,Lektion_1 Hören
RZn>;SYhlQ,oberflächlich,,Wir hatten ein oberflächliches Gespräch bei der Party,superficial,,Lektion_1 Hören
"4uAz!$@,LL","das Bedürfnis, -se",,"Wir tun alles, um die Bedürfnisse unserer Kunden zu befriedigen","need, urge, requirement",,Lektion_1 Wortschatz
"VPT@b8,i[b","die Beziehung, -en",,Die guten Beziehungen zwischen den Staaten beruhten auf Vertrauen,relationship,,Lektion_1 Wortschatz
2OWj[VJ<7;,eine Beziehung haben,,Er hat eine freundliche Beziehung zu seinen Eltern,to have a relationship,,Lektion_1 Wortschatz
X>Bs-AH%rN,die Dankbarkeit (Sg.),,Er hat seine Dankbarkeit mit einem Geschenk gezeigt,"appreciation, gratefulness",,Lektion_1 Wortschatz
*q|p.7=)Z|,"die Emotion, -en",,Lächelnde Kinder rufen immer positive Emotionen hervor,emotion,,Lektion_1 Wortschatz
#{Rpk0%_ZM,"der Komiker, -",,Der Komiker präsentierte seine besten Witze auf der Bühne,comedian,,Lektion_1 Wortschatz
Vuwe9wV?yX,"der Lebensabschnitt, -e",,Ich möchte Juhani für seine Mitarbeit recht herzlich danken und ihm für den neuen Lebensabschnitt nach seiner Pensionierung viel Freude und gute Gesundheit wünschen,"stage of life, chapter in one's life",,Lektion_1 Wortschatz
-tV2R)nWXo,"die Lebensphase, -n",,"Der Lebenszyklus des Menschen wird heute eingeteilt in die Embryogenese und die folgenden Lebensphasen der Kindheit, der Jugend und des Erwachsenenalters",phase of life,,Lektion_1 Wortschatz
PLMi4MPR$/,"der Teenager, -",,Teenager hängen gerne mit ihren Freunden rum,teenager,,Lektion_1 Wortschatz
"X0,4a!G}6.","zusammenkommen mit, kam zusammen, ist zusammengekommen",,Wir sind mit den Kollegen aus der Personalabteilung für einen Teambuilding-Urlaub zusammengekommen,"to come together with, to convene with",,Lektion_1 Wortschatz
ZQ*HpA.zL/,befreundet sein mit,,Martha und Bertha sind gut miteinander befreundet,to be friends with,,Lektion_1 Wortschatz
"K~WENBw+*,",Freundschaft schließen mit,,Kinder finden es leicht Freundschaften mit ihren Mitschülern zu schließen,to make friends with,,Lektion_1 Wortschatz
"<;G,FpH4WP","die Handlung, -en",,Die Vorschau gab mir eine Vorstellung von der Handlung des Films,"plot, story line",,Lektion_1 Sprechen_2
Oxz#~d$;tf,"das Feedback, -s",,Danke für das Feedback,feedback,,Lektion_1 Sprechen_2
.16k>L|wh4,"die Folie, -n",,Ich bereite Folien für meine Präsentation vor,slide,,Lektion_1 Sprechen_2
M<7&*sNDr1,"die Musikveranstaltung, -en",,Glastonbury ist wohl die bekannteste Musikveranstaltung in Großbritannien,musical event,,Lektion_1 Sprechen_2
Y+Z7XcA;F2,"der Schauspieler, -",,Die Auswahl der Schauspieler für diesen Film war großartig,actor,,Lektion_1 Sprechen_2
T<}}W!o>bQ,"die Sportart, -en",,Ich liebe Sportarten wie Tennis oder Schwimmen,type of sport,,Lektion_1 Sprechen_2
/_z??wKBQ!,"das Sportereignis, -se",,Wimbledon ist ein bedeutendes Sportereignis,sporting event,,Lektion_1 Sprechen_2
2BPPM8KT.L,auswählen,,Man kann aus verschiedenen Speisen auf der Karte auswählen,select,,Lektion_1 Sprechen_2
6pa0gr/7j^,erwähnen,"[beiläufig] nennen, kurz von etwas sprechen",Er hat dich namentlich erwähnt,mention,,Lektion_1 Sprechen_2
-Q6b&3Ztr*,gestalten,,Er hat die Website für sein kleines Unternehmen selbst gestaltet,"to shape, to model, to design",,Lektion_1 Sprechen_2
Q-/9mAl?DS,abenteuerlustig,,,adventurous,,Lektion_1 Sprechen_2
R}9t~`*4`@,außergewöhnlich,,,extraordinary,,Lektion_1 Sprechen_2
"4)*vv0t;y,",extrovertiert,,,extroverted,,Lektion_1 Sprechen_2
SV^d)<EC/H,hilfsbereit,,,helpful,,Lektion_1 Sprechen_2
*}+eT5<!{@,introvertiert,,,introverted,,Lektion_1 Sprechen_2
6J4&p^$K:B,nachdenklich,,,"thoughtful, reflective",,Lektion_1 Sprechen_2
